ch1,ch2,expected,event_label,pair,band,fmin,fmax,coh,imcoh,plv,pli,wpli
Fp1,Fp2,homologous,all,Fp1-Fp2,delta,1.0,4.0,0.6522826015411183,-0.005357447056246492,0.5311907428003237,0.048223350253807105,0.07566588870477102
Fp1,Fp2,homologous,all,Fp1-Fp2,theta,4.0,8.0,0.5308333198302938,0.016668425868238405,0.4403655273052702,0.0425614994142913,0.049123461063994525
Fp1,Fp2,homologous,all,Fp1-Fp2,alpha,8.0,13.0,0.4460576477767822,-0.003969110217032256,0.3526413173002891,0.039657360406091365,0.11285960167884615
Fp1,Fp2,homologous,all,Fp1-Fp2,beta,13.0,30.0,0.6007385096662967,-0.01570700817778556,0.2509878152301887,0.054959000390472475,0.26074539058215684
Fp1,Fp2,homologous,all,Fp1-Fp2,high_beta,20.0,30.0,0.7299044103712684,0.005091544763343809,0.20657855683179457,0.053381365645980026,0.3190354666568955
Fp1,Fp2,homologous,all,Fp1-Fp2,low_gamma,30.0,45.0,0.7887180840931892,0.0017564831250630427,0.18712254823834507,0.04369896270139042,0.518397547323003
F3,F4,homologous,all,F3-F4,delta,1.0,4.0,0.7968173948822868,0.007795592164839447,0.663011287499702,0.046700507614213196,0.07356646323970101
F3,F4,homologous,all,F3-F4,theta,4.0,8.0,0.7208292847460794,-0.022276812777311798,0.5954057526765368,0.050761421319796954,0.10028105651958755
F3,F4,homologous,all,F3-F4,alpha,8.0,13.0,0.5874976696788475,-0.030784585723310245,0.45141060911353464,0.06281725888324874,0.10566586778289391
F3,F4,homologous,all,F3-F4,beta,13.0,30.0,0.6389321116645122,-0.018204702692041542,0.3619767034352152,0.04734478719250291,0.27233005747475786
F3,F4,homologous,all,F3-F4,high_beta,20.0,30.0,0.6848945177969422,-0.0020631883354931737,0.33717698144699937,0.041264123137383334,0.38173993208158935
F3,F4,homologous,all,F3-F4,low_gamma,30.0,45.0,0.6903537957035056,0.0019388820246979562,0.3029460898173613,0.033546678437431025,0.5479793488088758
C3,C4,homologous,all,C3-C4,delta,1.0,4.0,0.6078622469406685,0.13157179954894202,0.52474564878384,0.13959390862944165,0.3284025727878169
C3,C4,homologous,all,C3-C4,theta,4.0,8.0,0.5528213410868,0.07923744678600025,0.4621286857434744,0.0741897696212417,0.21032897207673848
C3,C4,homologous,all,C3-C4,alpha,8.0,13.0,0.5820237238086609,0.03056489242028874,0.5114161604091895,0.04219543147208122,0.11917714873265123
C3,C4,homologous,all,C3-C4,beta,13.0,30.0,0.4752889720164625,0.02019033755234028,0.4542572913082239,0.042171026942600554,0.16238707511654168
C3,C4,homologous,all,C3-C4,high_beta,20.0,30.0,0.387741159470044,0.0004018077698721631,0.35555440404966693,0.04470280006549861,0.16078612474408013
C3,C4,homologous,all,C3-C4,low_gamma,30.0,45.0,0.38305947184429096,-0.0010006735642434917,0.2994601006901794,0.039395276980798935,0.2688721125073676
P3,P4,homologous,all,P3-P4,delta,1.0,4.0,0.6952319577744714,0.09804683165845704,0.6446099198014759,0.10558375634517767,0.30110483003210986
P3,P4,homologous,all,P3-P4,theta,4.0,8.0,0.6894708950276306,0.016741915361419762,0.6140927382141849,0.03865677469738383,0.17072730818897636
P3,P4,homologous,all,P3-P4,alpha,8.0,13.0,0.7540562268017647,-0.003926572430422675,0.6638615816632142,0.03807106598984772,0.07421221700580813
P3,P4,homologous,all,P3-P4,beta,13.0,30.0,0.5880440240651108,-0.01457751337280244,0.5346594520446917,0.047442405310425616,0.22137768874100575
P3,P4,homologous,all,P3-P4,high_beta,20.0,30.0,0.47061054357018384,-0.0038509775850806673,0.4020445902418216,0.04748649091206811,0.29218659225365423
P3,P4,homologous,all,P3-P4,low_gamma,30.0,45.0,0.44867709696031355,-0.0008287146237731587,0.266147213565846,0.03266387111013022,0.3484943871606642
O1,O2,homologous_occipital,all,O1-O2,delta,1.0,4.0,0.6454041207544331,0.06280421322273474,0.5563286575257267,0.09086294416243654,0.1835209177120821
O1,O2,homologous_occipital,all,O1-O2,theta,4.0,8.0,0.631962123875812,0.023339234416404248,0.5395125539394333,0.057789925810230375,0.12193819294824228
O1,O2,homologous_occipital,all,O1-O2,alpha,8.0,13.0,0.6665566522199313,-0.011451337287503794,0.5701901483656233,0.03902284263959391,0.07658671701487706
O1,O2,homologous_occipital,all,O1-O2,beta,13.0,30.0,0.4049558623931833,-0.012672777213151564,0.5148711506642855,0.04412338930105427,0.2382307438652219
O1,O2,homologous_occipital,all,O1-O2,high_beta,20.0,30.0,0.21085313505893366,-0.0030854372079406017,0.41600908254305907,0.04175536269854266,0.3349163065104301
O1,O2,homologous_occipital,all,O1-O2,low_gamma,30.0,45.0,0.23085545047824035,-0.001226807128710582,0.32054949915009795,0.045023173692341635,0.40553441175521365
Fp1,O2,distant_control,all,Fp1-O2,delta,1.0,4.0,0.2888582382383037,0.05712566669448965,0.2402528595808215,0.09289340101522843,0.17273249264686427
Fp1,O2,distant_control,all,Fp1-O2,theta,4.0,8.0,0.24769840696776932,0.035958017137997844,0.18522738691554566,0.06364701288559156,0.118006351108121
Fp1,O2,distant_control,all,Fp1-O2,alpha,8.0,13.0,0.18769890991107493,0.013623821888023522,0.14818044193545982,0.03775380710659898,0.07530657819939125
Fp1,O2,distant_control,all,Fp1-O2,beta,13.0,30.0,0.1528402201937325,0.002628879441671608,0.18338580153991252,0.03807106598984771,0.06449743455057501
Fp1,O2,distant_control,all,Fp1-O2,high_beta,20.0,30.0,0.06191789138013719,-0.002465478795133496,0.1671298842333054,0.038807925331586696,0.045850458069187125
Fp1,O2,distant_control,all,Fp1-O2,low_gamma,30.0,45.0,0.020425742384820905,-0.0004391421818068981,0.2122326387928234,0.03917457514897373,0.04667825493820948
Fp2,O1,distant_control,all,Fp2-O1,delta,1.0,4.0,0.6126273316208527,0.024568078140680807,0.5207216488929755,0.05685279187817258,0.13102158332647088
Fp2,O1,distant_control,all,Fp2-O1,theta,4.0,8.0,0.5009307390646426,0.021393417262829402,0.42744699360961813,0.06755173760249901,0.061671439791404555
Fp2,O1,distant_control,all,Fp2-O1,alpha,8.0,13.0,0.3522266107830847,-0.016318872216824508,0.32055595389584846,0.034263959390862936,0.07664956378016378
Fp2,O1,distant_control,all,Fp2-O1,beta,13.0,30.0,0.689820942882695,0.011970526072819822,0.24214608221891196,0.0518352206169465,0.1728912449428355
Fp2,O1,distant_control,all,Fp2-O1,high_beta,20.0,30.0,0.9256665237627755,0.003885119414667123,0.20352514949431783,0.047977730473227426,0.22456952287473222
Fp2,O1,distant_control,all,Fp2-O1,low_gamma,30.0,45.0,0.9603631634543887,0.0016444469224438302,0.20896848176682634,0.03950562789671155,0.32027341355817546
F3,O2,distant_control,all,F3-O2,delta,1.0,4.0,0.41365282340234,0.047663468629373554,0.37336738068633185,0.08477157360406092,0.17234376232833343
F3,O2,distant_control,all,F3-O2,theta,4.0,8.0,0.36644121193764967,0.01957990349370461,0.2832131138692849,0.046466224131198754,0.12894817841919062
F3,O2,distant_control,all,F3-O2,alpha,8.0,13.0,0.41993322728805055,0.0006553147224737737,0.35075298688362144,0.052664974619289345,0.07274862868164599
F3,O2,distant_control,all,F3-O2,beta,13.0,30.0,0.36222298522609275,-5.914013282597593e-05,0.3587375125500682,0.04275673565013667,0.08441186492371247
F3,O2,distant_control,all,F3-O2,high_beta,20.0,30.0,0.2820484504716866,-0.001111532011115199,0.292167687055917,0.0427378418208613,0.1041727045384241
F3,O2,distant_control,all,F3-O2,low_gamma,30.0,45.0,0.32077616961382815,-0.0006238973765725172,0.253506270379323,0.044802471860516425,0.09208197829053448
