comparison,pair,relation_type,n_windows_all,n_windows_clean,artifact_rate,all_abs_time_corr_r,clean_abs_time_corr_r,weighted_abs_time_corr_r,all_abs_max_lag_corr_r,clean_abs_max_lag_corr_r,weighted_abs_max_lag_corr_r,all_delta_coherence,clean_delta_coherence,weighted_delta_coherence,all_delta_imag_coherence,clean_delta_imag_coherence,weighted_delta_imag_coherence,all_delta_plv,clean_delta_plv,weighted_delta_plv,all_delta_pli,clean_delta_pli,weighted_delta_pli,all_delta_wpli,clean_delta_wpli,weighted_delta_wpli,all_theta_coherence,clean_theta_coherence,weighted_theta_coherence,all_theta_imag_coherence,clean_theta_imag_coherence,weighted_theta_imag_coherence,all_theta_plv,clean_theta_plv,weighted_theta_plv,all_theta_pli,clean_theta_pli,weighted_theta_pli,all_theta_wpli,clean_theta_wpli,weighted_theta_wpli,all_alpha_coherence,clean_alpha_coherence,weighted_alpha_coherence,all_alpha_imag_coherence,clean_alpha_imag_coherence,weighted_alpha_imag_coherence,all_alpha_plv,clean_alpha_plv,weighted_alpha_plv,all_alpha_pli,clean_alpha_pli,weighted_alpha_pli,all_alpha_wpli,clean_alpha_wpli,weighted_alpha_wpli,all_beta1_coherence,clean_beta1_coherence,weighted_beta1_coherence,all_beta1_imag_coherence,clean_beta1_imag_coherence,weighted_beta1_imag_coherence,all_beta1_plv,clean_beta1_plv,weighted_beta1_plv,all_beta1_pli,clean_beta1_pli,weighted_beta1_pli,all_beta1_wpli,clean_beta1_wpli,weighted_beta1_wpli,all_beta2_emg_sensitive_coherence,clean_beta2_emg_sensitive_coherence,weighted_beta2_emg_sensitive_coherence,all_beta2_emg_sensitive_imag_coherence,clean_beta2_emg_sensitive_imag_coherence,weighted_beta2_emg_sensitive_imag_coherence,all_beta2_emg_sensitive_plv,clean_beta2_emg_sensitive_plv,weighted_beta2_emg_sensitive_plv,all_beta2_emg_sensitive_pli,clean_beta2_emg_sensitive_pli,weighted_beta2_emg_sensitive_pli,all_beta2_emg_sensitive_wpli,clean_beta2_emg_sensitive_wpli,weighted_beta2_emg_sensitive_wpli
ears_reference_sensitive__vs__ears_reference_sensitive,A1-A2,EEG_EEG_CONNECTIVITY,1281,1264,0.01327088212334114,0.067964666756705,0.06773469924751982,0.06620151311693258,0.1397922399675301,0.14025135694937696,0.1397083407405744,0.3388392710469883,0.338936663289213,0.3362309074995524,0.3394053059590817,0.3392378550642579,0.3370686636993119,,,,,,,,,,0.3364802831205782,0.3361542024279723,0.3356591658534837,0.3392930589997367,0.33922129634224996,0.3387364503210311,,,,,,,,,,0.34067856192325924,0.3403457471915691,0.3395832763576107,0.3486056855327214,0.34853518793612476,0.34918535479328716,,,,,,,,,,0.3397466292019983,0.3398439718070493,0.34056115607586845,0.34315607080519933,0.3434327160498217,0.343513620901843,,,,,,,,,,0.34048156401049184,0.3405107803799147,0.3408533843079298,0.34164448070456355,0.3416704763783605,0.3417309331685865,,,,,,,,,
ears_reference_sensitive__vs__neck_poly_bipolar,A2-POLY3,EEG_POLY_SPECTRAL_SIMILARITY,1281,1264,0.01327088212334114,0.05682374010189456,0.05701506767306864,0.05726040664284235,0.15214829164664387,0.15235837831252666,0.1526261883644091,0.34878043095896116,0.3495693526383691,0.3495367045126132,0.34796568290740953,0.348092456637809,0.3495120130846698,,,,,,,,,,0.34464117065575095,0.3442120136060437,0.34522624862549256,0.3500245421277745,0.3501225383819246,0.3517549429676408,,,,,,,,,,0.34287275814744245,0.34263316634298036,0.34233203503453546,0.343833509034494,0.34344382469370693,0.34235449752665315,,,,,,,,,,0.3413687757372692,0.34137268086319933,0.34268245790758883,0.3482315663449223,0.3481339919978087,0.3500355447351138,,,,,,,,,,0.3393532504246828,0.3391795347668345,0.33959231551898966,0.3448484052265761,0.3449132622239664,0.3454087127316161,,,,,,,,,
ears_reference_sensitive__vs__neck_poly_bipolar,A1-POLY3,EEG_POLY_SPECTRAL_SIMILARITY,1281,1264,0.01327088212334114,0.10613702266284157,0.10647132533960546,0.10560788236642615,0.21946875004178376,0.21925850619786263,0.2178444759843597,0.34467640336156957,0.34443709413153356,0.3479496414175665,0.3509968805904174,0.35019124976963606,0.35145771506102746,,,,,,,,,,0.3365885246527104,0.3367815933982741,0.33666567839308487,0.3399767786908104,0.33988726679043857,0.33946212718426794,,,,,,,,,,0.33724109163269683,0.3371245239340836,0.3364580927051228,0.34640733184293165,0.34632120244224884,0.34525335470805796,,,,,,,,,,0.33641927067465194,0.33676356053846446,0.3376533655797096,0.33902273718920417,0.3393036398730323,0.34023782503264477,,,,,,,,,,0.3408039896878719,0.3406711945774584,0.34080335641657816,0.3457074815393311,0.3454592687052398,0.344835178212812,,,,,,,,,
frontal_eeg__vs__frontal_eeg,Fp1-Fp2,EEG_EEG_CONNECTIVITY,1281,1264,0.01327088212334114,0.4832257903312735,0.48023967729653094,0.46903980161624353,0.5583017380655257,0.5553385464108882,0.5456950818160873,0.5860224532833257,0.5831435212057602,0.5750281074548207,0.28637737434385974,0.2874304582982965,0.2886233772637486,,,,,,,,,,0.49557607350225935,0.4936807108869592,0.48879496731461974,0.3245853857566631,0.32598671491721787,0.32784380892635895,,,,,,,,,,0.45099370368411706,0.4507628275116479,0.4464354291972233,0.3386592804311843,0.33906934676112904,0.3401747935154112,,,,,,,,,,0.44616089869170605,0.446409845445262,0.4427048714840668,0.33362183670298823,0.33392942632830186,0.33460824003422324,,,,,,,,,,0.43833025093280154,0.4389009894295307,0.4375901846899661,0.3310488824928851,0.33087138663136734,0.33027159859736416,,,,,,,,,
frontal_eeg__vs__neck_poly_bipolar,Fp2-POLY3,EEG_POLY_SPECTRAL_SIMILARITY,1281,1264,0.01327088212334114,0.11695456298208337,0.11771227484926769,0.11358123086493103,0.22338093778613505,0.22359585972477736,0.21961578043065041,0.3498701336055908,0.3494777596319913,0.3507794914484548,0.3521704389632053,0.35117712011524627,0.3508170087995948,,,,,,,,,,0.33605765170003865,0.33622850625269135,0.33673614858127415,0.3404954792175563,0.3404897458162647,0.34017505225329586,,,,,,,,,,0.33963450823826724,0.33945472946838867,0.3396021364154874,0.34524721879309417,0.3452067240596477,0.34651955982622756,,,,,,,,,,0.3387794008185044,0.33847272558686003,0.3393437072212404,0.34242343730422353,0.3422913669874046,0.34267986666613465,,,,,,,,,,0.3381721955583691,0.33791074490520157,0.33768738633008194,0.3426537290527083,0.3426028586366144,0.3418109353646546,,,,,,,,,
frontal_eeg__vs__neck_poly_bipolar,Fp1-POLY3,EEG_POLY_SPECTRAL_SIMILARITY,1281,1264,0.01327088212334114,0.10895051069575741,0.10913591926563147,0.10712411941049062,0.2237434717896542,0.2236899589436616,0.22279984961030083,0.347100605336794,0.3470779875475986,0.34953069033379003,0.3481380160111695,0.3474447940449355,0.3469989074425575,,,,,,,,,,0.33949868286380563,0.3394644687901384,0.33954468457252035,0.3461298662229661,0.3462667324974967,0.3465931837606511,,,,,,,,,,0.3369833770433014,0.33696460751211266,0.3356865288793226,0.34601908426927896,0.3458374829737139,0.34470213085884455,,,,,,,,,,0.3346369501999542,0.334895700918987,0.33470249997599055,0.338367062248227,0.33857097093115257,0.33810152281236916,,,,,,,,,,0.33930131467569924,0.3391223555269913,0.3391284208165398,0.3429694025796758,0.3426921221637448,0.34202394026325,,,,,,,,,
occipital_eeg__vs__neck_poly_bipolar,O2-POLY3,EEG_POLY_SPECTRAL_SIMILARITY,1281,1264,0.01327088212334114,0.13173759299363766,0.13205004195569353,0.12900229728762022,0.22509886030382417,0.22560117226158904,0.22369436593672942,0.3585600364697451,0.3585092278851354,0.3574760222438435,0.34948372551039486,0.3493795283680125,0.3494734107026991,,,,,,,,,,0.34429600352059964,0.3446072740640484,0.34480136914659987,0.34182993492930736,0.3421735844345616,0.34269640379914407,,,,,,,,,,0.3470874451128679,0.34654340938873934,0.3470918977420629,0.35289467797453883,0.3519836394236577,0.3526852186467391,,,,,,,,,,0.3441640042057046,0.3443022987185954,0.3453383848963155,0.34906702290930264,0.34931773313582837,0.35011869510323007,,,,,,,,,,0.3434795611966078,0.34369529157205175,0.3440267914045837,0.345553405127474,0.34555097380831545,0.3460592612547112,,,,,,,,,
occipital_eeg__vs__neck_poly_bipolar,O1-POLY3,EEG_POLY_SPECTRAL_SIMILARITY,1281,1264,0.01327088212334114,0.10424656727648533,0.10445980419323224,0.10379329132329299,0.21249915447526338,0.21246219397846536,0.21123728680502257,0.3439790864560438,0.34385819100724113,0.3457990675284201,0.345903874654928,0.34518744813755853,0.3458560659942598,,,,,,,,,,0.3356216995082004,0.335778127137573,0.3370182280789688,0.34016821355319005,0.3401064685407044,0.3407479487591459,,,,,,,,,,0.33793370699232805,0.33785411127369064,0.33665090932426783,0.34350657443690774,0.3431756985888468,0.341864420567419,,,,,,,,,,0.3382216458190766,0.3384283182493527,0.3386820638906125,0.34130946227567066,0.34167517843789924,0.3415994700198707,,,,,,,,,,0.3371749148916271,0.33716206907447877,0.3363790910054916,0.3427674745589182,0.3425395203901059,0.3413806271392016,,,,,,,,,
occipital_eeg__vs__occipital_eeg,O1-O2,EEG_EEG_CONNECTIVITY,1281,1264,0.01327088212334114,0.10845154184869299,0.10825958059298948,0.10740995201321578,0.2093511222514721,0.209166272233959,0.20993579040213417,0.34168480245373906,0.34201568141823,0.3416076070054196,0.3393355396496709,0.3394967362740828,0.34013089937652435,,,,,,,,,,0.3399843457924751,0.3401404032661255,0.3414283062797968,0.3507049014896863,0.3510276243856525,0.3527520370721845,,,,,,,,,,0.3386617911174546,0.33851896006732174,0.3388560133909114,0.34410709798721434,0.34416046950581797,0.3443499820802284,,,,,,,,,,0.3385221278981965,0.33835522749149516,0.33892329217738665,0.3383178269993224,0.3381672063271459,0.3369298890894232,,,,,,,,,,0.3371180010506332,0.3372792589275002,0.33759758650032734,0.34067401557993926,0.34058966781821604,0.3407013728703923,,,,,,,,,
